trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.99, 'e': 0.6556592205741436}",25,0,-65.81223240539734,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
43,False,"{'a': 0.99, 'e': 0.6491026283684022}",30,14,-32.669274055682976,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 1}",1
44,False,"{'a': 0.99, 'e': 0.6426116020847181}",30,0,-90.77167200593223,"{0: 19, 1: 3, 2: 6, 3: 2, 4: 0}",0
45,False,"{'a': 0.99, 'e': 0.6361854860638709}",25,15,-49.569923434890974,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
46,False,"{'a': 0.99, 'e': 0.6298236312032323}",25,7,4.058481175303741,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.99, 'e': 0.6235253948912}",30,0,-85.95205444526441,"{0: 24, 1: 2, 2: 1, 3: 1, 4: 2}",1
48,False,"{'a': 0.99, 'e': 0.617290140942288}",25,8,-16.93906371359577,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 0}",1
49,False,"{'a': 0.99, 'e': 0.611117239532865}",20,0,-50.55852673939496,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
50,False,"{'a': 0.99, 'e': 0.6050060671375364}",30,18,8.320493759744911,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.99, 'e': 0.598956006466161}",20,0,-135.7817690429471,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
52,False,"{'a': 0.99, 'e': 0.5929664464014994}",25,0,-93.7832059758443,"{0: 19, 1: 0, 2: 3, 3: 2, 4: 1}",0
53,False,"{'a': 0.99, 'e': 0.5870367819374844}",20,1,-57.688443572515176,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 1}",1
54,False,"{'a': 0.99, 'e': 0.5811664141181095}",25,0,-98.73161583593664,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
55,False,"{'a': 0.99, 'e': 0.5753547499769285}",20,0,-33.69491131845509,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",0
56,False,"{'a': 0.99, 'e': 0.5696012024771592}",20,0,-57.07595353254859,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
57,False,"{'a': 0.99, 'e': 0.5639051904523875}",25,0,-12.827382980402417,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
58,False,"{'a': 0.99, 'e': 0.5582661385478637}",30,21,-17.652529779630072,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
59,False,"{'a': 0.99, 'e': 0.5526834771623851}",30,0,-59.524305021903636,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
60,False,"{'a': 0.99, 'e': 0.5471566423907612}",20,0,-42.913771025964365,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
61,False,"{'a': 0.99, 'e': 0.5416850759668536}",20,8,-1.9024442204589702,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.99, 'e': 0.536268225207185}",20,5,-72.52044629709103,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 2}",1
63,False,"{'a': 0.99, 'e': 0.5309055429551132}",30,22,-7.941380955125178,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
64,False,"{'a': 0.99, 'e': 0.525596487525562}",20,0,-80.76888293378936,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
65,False,"{'a': 0.99, 'e': 0.5203405226503064}",20,0,-85.1579862585682,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
66,False,"{'a': 0.99, 'e': 0.5151371174238033}",20,0,-13.628975656634257,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
67,False,"{'a': 0.99, 'e': 0.5099857462495653}",20,0,-63.93888030505534,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
68,False,"{'a': 0.99, 'e': 0.5048858887870696}",25,13,-18.238835511647736,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 0}",1
69,False,"{'a': 0.99, 'e': 0.4998370298991989}",25,0,-101.05747094343621,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
70,False,"{'a': 0.99, 'e': 0.49483865960020695}",25,12,-3.868933282895613,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
71,False,"{'a': 0.99, 'e': 0.4898902730042049}",25,12,-25.756486978675856,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 0}",1
72,False,"{'a': 0.99, 'e': 0.48499137027416284}",20,0,-6.211049148505056,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
73,False,"{'a': 0.99, 'e': 0.4801414565714212}",20,1,21.006252933768224,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.99, 'e': 0.47534004200570695}",30,0,-129.5792917643815,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
75,False,"{'a': 0.99, 'e': 0.4705866415856499}",20,0,-23.577790309853285,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",1
76,False,"{'a': 0.99, 'e': 0.46588077516979337}",25,0,-61.32251234552156,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
77,False,"{'a': 0.99, 'e': 0.46122196741809546}",20,0,18.030381405078845,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
78,False,"{'a': 0.99, 'e': 0.4566097477439145}",25,8,-40.84146131155093,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
79,False,"{'a': 0.99, 'e': 0.45204365026647536}",35,22,7.719962423043402,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
80,False,"{'a': 0.99, 'e': 0.4475232137638106}",20,13,7.592324794490578,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.99, 'e': 0.4430479816261725}",35,0,-26.363024016221487,"{0: 30, 1: 0, 2: 4, 3: 1, 4: 0}",0
82,False,"{'a': 0.99, 'e': 0.43861750180991077}",20,0,-8.296430328064758,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
83,False,"{'a': 0.99, 'e': 0.43423132679181164}",20,5,8.192687405774542,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
84,False,"{'a': 0.99, 'e': 0.4298890135238935}",25,5,-30.511359442859675,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",1
85,False,"{'a': 0.99, 'e': 0.4255901233886546}",20,7,-0.401014708305355,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.99, 'e': 0.421334222154768}",30,12,19.525609544008844,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
87,False,"{'a': 0.99, 'e': 0.41712087993322033}",30,22,-5.038521381878229,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.99, 'e': 0.41294967113388814}",30,0,9.145827164804441,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
89,False,"{'a': 0.99, 'e': 0.40882017442254925}",20,9,-14.873166506080885,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
90,False,"{'a': 0.99, 'e': 0.4047319726783238}",35,9,-10.993400291828936,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 1}",1
91,False,"{'a': 0.99, 'e': 0.40068465295154054}",35,21,18.707673104233805,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
92,False,"{'a': 0.99, 'e': 0.3966778064220251}",20,10,2.873530188659646,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
93,False,"{'a': 0.99, 'e': 0.39271102835780486}",20,10,3.8599516431614256,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
94,False,"{'a': 0.99, 'e': 0.3887839180742268}",20,0,26.94067227518683,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
95,False,"{'a': 0.99, 'e': 0.38489607889348454}",30,13,-24.029217028019513,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
96,False,"{'a': 0.99, 'e': 0.38104711810454966}",25,7,6.843386270657218,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
97,False,"{'a': 0.99, 'e': 0.37723664692350417}",20,0,-32.48392180761878,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
98,False,"{'a': 0.99, 'e': 0.37346428045426916}",25,0,-5.48816160723716,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
99,False,"{'a': 0.99, 'e': 0.36972963764972644}",20,0,9.26686317867977,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
100,False,"{'a': 0.99, 'e': 0.3660323412732292}",20,0,-16.058307174928558,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
101,False,"{'a': 0.99, 'e': 0.3623720178604969}",25,3,5.177177909959373,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 0}",1
102,False,"{'a': 0.99, 'e': 0.3587482976818919}",20,9,-62.45639885596903,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 1}",1
103,False,"{'a': 0.99, 'e': 0.355160814705073}",35,11,-43.63823260186945,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 1}",1
104,False,"{'a': 0.99, 'e': 0.35160920655802225}",20,0,12.190685189764638,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
105,False,"{'a': 0.99, 'e': 0.348093114492442}",20,6,-34.41856422311945,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
106,False,"{'a': 0.99, 'e': 0.3446121833475176}",20,11,-6.81257473909537,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
107,False,"{'a': 0.99, 'e': 0.34116606151404244}",20,0,-0.17869182884615264,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
108,False,"{'a': 0.99, 'e': 0.337754400898902}",30,0,-1.3266673873153463,"{0: 27, 1: 0, 2: 2, 3: 1, 4: 0}",0
109,False,"{'a': 0.99, 'e': 0.334376856889913}",25,0,-6.564658107586704,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
110,False,"{'a': 0.99, 'e': 0.33103308832101386}",25,19,3.684242387300869,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.99, 'e': 0.3277227574378037}",25,8,8.310048068950556,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
112,False,"{'a': 0.99, 'e': 0.3244455298634257}",20,9,3.2771175217766038,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
113,False,"{'a': 0.99, 'e': 0.3212010745647914}",20,8,0.9567859783211665,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
114,False,"{'a': 0.99, 'e': 0.3179890638191435}",25,0,-8.987136966632441,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
115,False,"{'a': 0.99, 'e': 0.31480917318095203}",20,0,-3.6814455231208494,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",1
116,False,"{'a': 0.99, 'e': 0.3116610814491425}",30,24,12.141657090730554,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.99, 'e': 0.30854447063465107}",20,11,13.714351668152295,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.99, 'e': 0.3054590259283046}",25,2,-30.620780319163643,"{0: 20, 1: 1, 2: 0, 3: 1, 4: 1}",1
119,False,"{'a': 0.99, 'e': 0.30240443566902153}",20,6,-20.74868068369595,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
120,False,"{'a': 0.99, 'e': 0.2993803913123313}",20,0,-55.65148843206639,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
121,False,"{'a': 0.99, 'e': 0.296386587399208}",30,8,38.53537584642339,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.99, 'e': 0.2934227215252159}",25,15,9.73518495688721,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.99, 'e': 0.29048849430996376}",25,15,3.861943950802777,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.99, 'e': 0.2875836093668641}",20,6,8.927429013798466,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.99, 'e': 0.28470777327319546}",30,0,-0.36807572435573777,"{0: 27, 1: 1, 2: 1, 3: 1, 4: 0}",0
126,False,"{'a': 0.99, 'e': 0.2818606955404635}",35,24,-8.857374090146735,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
127,False,"{'a': 0.99, 'e': 0.27904208858505886}",20,9,17.666817463745563,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.99, 'e': 0.2762516676992083}",25,13,23.546763213193856,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.99, 'e': 0.2734891510222162}",25,13,20.20524675402534,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.99, 'e': 0.27075425951199406}",20,9,-7.547673882026849,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
131,False,"{'a': 0.99, 'e': 0.2680467169168741}",25,0,26.30410252936039,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
132,False,"{'a': 0.99, 'e': 0.26536624974770534}",30,6,-24.699265556833602,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 1}",1
133,False,"{'a': 0.99, 'e': 0.2627125872502283}",30,16,-35.80651206046863,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
